Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Department
2021_HPIPH_46923_1,JSDS-TA-NIT/21- 1571-1670 dated 26.04.21 Job No. 4,CAD work of FIS Sheel Deothi in GP Deothi Tehsil and District Solan HP Sub Head _ Construction of Head weir RCC outlets and distribution system in HDPE and GI pipes of various diameter,CAD work of FIS Sheel Deothi in GP Deothi Tehsil and District Solan HP Sub Head _ Construction of Head weir RCC outlets and distribution system in HDPE and GI pipes of various diameter,Works,Open Tender,Item Rate,Civil Works - Others,No,No,NA ,27-Apr-2021 06:00 PM,NA ,120.0,No ,No,Online,04-May-2021 11:30 AM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Solan,Irrigation and Public Health,HP",Deothi Tehsil and District Solan,173211.0,2.0,"16,74,264",Parmod Kumar Thakur,"1,210,459",Accepted-AOC,27-Mar-2024,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Solan,Irrigation and Public Health,HP"
2021_HPIPH_48634_1,JSDS-TA-NIT/21- 7883-7982 dated 16.06.21 Job No. 4,CAD work of LIS Ber in GP Parag Tehsil and District Solan HP Sub Head _ Construction of Head weir RCC outlets and distribution system in HDPE and GI pipes of various diameter,CAD work of LIS Ber in GP Parag Tehsil and District Solan HP Sub Head _ Construction of Head weir RCC outlets and distribution system in HDPE and GI pipes of various diameter,Works,Open Tender,Item Rate,Civil Works - Others,No,No,NA ,16-Jun-2021 06:00 PM,NA ,120.0,No ,No,Online,25-Jun-2021 11:30 AM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Solan,Irrigation and Public Health,HP",Village Ber in Tehsil and District Solan,173212.0,2.0,"23,22,606",Parmod Kumar Thakur,"1,618,734",Accepted-AOC,27-Mar-2024,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Solan,Irrigation and Public Health,HP"
2022_HPInd_66838_13,No. Ind.SP/F/(NIT)148/94-Vol-II -3487,M-119(02) Supply of Ratchet Pipe Threader for Taper Pipes Threads (R-Series) (ISI Marked),Annual Rate Contract for the supply of Ratchet Pipe Threader for Taper Pipes Threads (R-Series) (ISI Marked),Goods,Open Tender,Item Wise,Miscellaneous Goods,No,No,NA ,23-Dec-2022 05:00 PM,NA ,120.0,No ,No,Online,21-Jan-2023 11:00 AM,Industries Department||Directorate of Industries,"Directorate of Industires , Bemloe , Shimla",171001.0,2.0,"57,18,349",INDER INDUSTRIES,"2,859,174.5",Accepted-AOC,14-Mar-2024,Industries Department||Directorate of Industries
2022_MC_56726_11,247Dated31012022,Providing and Fixing M S Channel railing at various location in ward No 30 Kangna Dhar (SH Providing and Fixing M S Channel and M S Pipe railing etc),Providing and Fixing M S Channel railing at various location in ward No 30 Kangna Dhar (SH Providing and Fixing M S Channel and M S Pipe railing etc),Works,Open Tender,Item Rate,Civil Works,No,No,NA ,11-Feb-2022 06:00 PM,NA ,120.0,No ,No,Offline,19-Feb-2022 02:00 PM,Municipal Corporation Shimla,Shimla,171001.0,2.0,"2,81,467",DHANVEER SINGH,"214,331",Accepted-AOC,27-Mar-2024,Municipal Corporation Shimla
2022_PWD_59074_15,EE Dehra letter No15063-68 dated 30.03.2022,Periodic Renewal on Banne Di Hatti to Naushera road for the year 2022-23 under PMGSY,Providing and laying 30 mm thick Bituminous Concrete with Paver Finisher on Km. 2/500 to 3/00,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,06-Apr-2022 10:00 AM,NA ,75.0,No ,No,Online,13-Apr-2022 11:30 AM,PWD,Dehra,177101.0,2.0,"4,52,496",Rohit,"370,356",Rejected-Finance,10-Mar-2024,PWD
2022_PWD_59074_17,EE Dehra letter No15063-68 dated 30.03.2022,Periodical Renewal on Bankhandi Sameli Gujrera Kallar Road for the year 2022-23 under PMGSY,Providing and laying 30mm thick Bituminious Concrete with Paver Finisher in Km.0/000 to 0/500 and 1/000 to 1/420,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,06-Apr-2022 10:00 AM,NA ,75.0,No ,No,Online,13-Apr-2022 11:30 AM,PWD,Dehra,177101.0,2.0,"7,69,493",Rohit,"631,717",Rejected-Finance,10-Mar-2024,PWD
2022_PWD_59074_18,EE Dehra letter No15063-68 dated 30.03.2022,Periodical Renewal on Bankhandi to Bassa Via Mehwa Guard Hut Road AMP for the year 2022-23 under Village Road,Providing and laying 30mm thick Bituminious Concrete with Paver Finisher in Km.0/000 to 1/000,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,06-Apr-2022 10:00 AM,NA ,75.0,No ,No,Online,13-Apr-2022 11:30 AM,PWD,Dehra,177101.0,2.0,"8,35,452",rajat thakur govt contractor,"682,510",Rejected-Finance,10-Mar-2024,PWD
2022_PWD_59074_19,EE Dehra letter No15063-68 dated 30.03.2022,Periodic Renewal on Darkata to Thathar Road for the year 2022-23 under PMGSY,Providing and laying 30mm thick Bituminious Concrete with Paver Finisher on Km. 0/000 to 1/000,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,06-Apr-2022 10:00 AM,NA ,75.0,No ,No,Online,13-Apr-2022 11:30 AM,PWD,Dehra,177101.0,2.0,"7,64,639",rajat thakur govt contractor,"628,840",Rejected-Finance,07-Mar-2024,PWD
2022_PWD_59074_25,EE Dehra letter No15063-68 dated 30.03.2022,Periodic Renewal on Dehrian Paisa road via Saletar for the year 2022-23 under Village Road,Providing and laying 30mm thick Bituminous Concrete with Paver Finisher in Km 3/000 to 4/000,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,06-Apr-2022 10:00 AM,NA ,75.0,No ,No,Online,13-Apr-2022 11:30 AM,PWD,Dehra,177101.0,2.0,"8,92,576",rajat thakur govt contractor,"772,753",Rejected-Finance,07-Mar-2024,PWD
2022_PWD_59074_26,EE Dehra letter No15063-68 dated 30.03.2022,Periodic Renewal on Dehrian Paisa road via Saletar for the year 2022-23 under Village Road,Providing and laying 30mm thick Bituminous Concrete with Paver Finisher in Km 4/000 to 5/960,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,06-Apr-2022 10:00 AM,NA ,75.0,No ,No,Online,13-Apr-2022 11:30 AM,PWD,Dehra,177101.0,2.0,"17,49,396",rajat thakur govt contractor,"1,523,178",Rejected-Finance,07-Mar-2024,PWD
