Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Department,classification_reasoning,classification_intent,classification_status,classification_error
2022_APDCL_25890_1,CGM_D/APDCL/Civil Hospital/Bongaigaon/2022 23/T_69,Construction of 11 kV spur line from 33/11 kV Birjhora Control Room to Bongaigaon Court for erection of dedicated Civil Hospital cum Judicial feeder from Betbari feeder under Bongaigaon ESD I.,Construction of 11 kV spur line from 33/11 kV Birjhora Control Room to Bongaigaon Court for erection of dedicated Civil Hospital cum Judicial feeder from Betbari feeder under Bongaigaon ESD I.,Works,Open Tender,Turn-key,Electrical Works,No,No,NA ,07-Jun-2022 06:00 PM,10-Jun-2022 12:00 PM ,90.0,No ,No,Online,23-Jun-2022 02:00 PM,Assam Power Distribution Company Ltd||CGM(D) Lower Assam Region - APDCL,Bongaigaon,781001.0,2.0,,EXPERT ELECTRICALS,"6,900,242.39",Accepted-AOC,12-Nov-2024,Assam Power Distribution Company Ltd||CGM(D) Lower Assam Region - APDCL,"The tender is for the construction of an 11 kV spur line from the 33/11 kV Birjhora Control Room to the Bongaigaon Court for the erection of a dedicated Civil Hospital cum Judicial feeder from the Betbari feeder under the Bongaigaon ESD I. While the tender mentions the construction of electrical infrastructure, it does not explicitly indicate any flood-related purpose or context. There are no keywords or descriptions related to flood protection, prevention, or management. The tender appears to be for a routine infrastructure development project rather than a flood-specific initiative.",Non-Flood,success,
2022_ICD_25528_1,APL/CnP/FnA/2022-23/038,Insurance of various Policies of Assam Petrochemicals Limited,Insurance of various policies of Assam Petrochemicals Limited for the period of 01-06-2022 to 31-05-2023,Services,Limited,Item Rate,Miscellaneous Services,No,No,NA ,13-May-2022 11:00 AM,NA ,180.0,No ,No,Online,20-May-2022 03:00 PM,Industries and Commerce Department||Assam Petro-Chemicals Ltd.||Head office Namrup||Materials Management Department,APL Namrup,786623.0,2.0,"30,16,603",THE NEW INDIA ASSURANCE CO. LTD.,"2,535,160",Rejected-Finance,14-Nov-2024,Industries and Commerce Department||Assam Petro-Chemicals Ltd.||Head office Namrup||Materials Management Department,"The tender is for the insurance of various policies of Assam Petrochemicals Limited, which is a commercial entity. There are no mentions of any flood-related works, infrastructure, or emergency response. The tender is for a routine commercial activity and does not appear to be related to flood protection, prevention, or mitigation. The department involved is the Industries and Commerce Department, which is not typically associated with flood management.",Non-Flood,success,
2023_AEGCL_33099_1,AEGCL/DGM(C)/2023-24/01,"1.Replacement of water supply service pipeline with new pipes (CPVC)alongwith some bibcock 2.Construction of 9No.s of staging alongwith supplying,fitting and fixing of 34Nos of HDPE Over Head water tank for Assam type Quarter, ASEB Colony,Kahilipara","1.Replacement of water supply service pipeline with new pipes (CPVC)alongwith some bibcock 2.Construction of 9No.s of staging alongwith supplying,fitting and fixing of 34Nos of HDPE Over Head water tank for Assam type Quarter, ASEB Colony,Kahilipara",Works,Open Tender,Works,Civil Works,No,No,NA ,18-Oct-2023 02:00 PM,NA ,180.0,No ,No,Online,08-Nov-2023 03:00 PM,Assam Electricity Grid Corporation Ltd||CGM (T and T),"ASEB Colony, Kahilipara, Guwahati-19",781019.0,2.0,"26,22,372",R. A. ASSOCIATES,"2,470,264",Rejected-AOC,14-Nov-2024,Assam Electricity Grid Corporation Ltd||CGM (T and T),"The tender describes two main components: 1) Replacement of water supply service pipeline with new CPVC pipes along with some bibcocks, and 2) Construction of 9 staging structures along with supplying, fitting, and fixing of 34 HDPE overhead water tanks for Assam-type quarters in the ASEB Colony, Kahilipara. While the tender does not explicitly mention flood-related works, the replacement of water supply pipelines and construction of overhead water tanks could be interpreted as measures to improve water management and resilience in the area, which may be relevant in flood-prone regions. However, the tender does not provide any specific details about the flood risk or the purpose of these works in the context of flood mitigation or prevention. Therefore, the classification of this tender as flood-related or non-flood-related is ambiguous based on the information provided.",Ambiguous,success,
2023_AEGCL_34355_1,AEGCL/MD/DGM(S)/Sishugram/BID,Civil Works for Construction of 33 kV Dedicated feeder bay at 132 kV Sishugram GSS AEGCL North Guwahati for JICA Water Supply Project,Civil Works for Construction of 33 kV Dedicated feeder bay at 132 kV Sishugram GSS AEGCL North Guwahati for JICA Water Supply Project,Works,Open Tender,Works,Civil Works,No,No,NA ,04-Dec-2023 12:00 PM,NA ,180.0,No ,No,Online,02-Jan-2024 02:00 PM,Assam Electricity Grid Corporation Ltd||CGM (T and T),"132KV Sishugram GSS, AEGCL, North Guwahati",781031.0,2.0,"1,34,52,880",CHAND MOHAMMAD ALI,"10,414,907",Accepted-AOC,11-Nov-2024,Assam Electricity Grid Corporation Ltd||CGM (T and T),"The tender is for civil works related to the construction of a 33 kV dedicated feeder bay at the 132 kV Sishugram GSS in North Guwahati, Assam. This project is part of the JICA Water Supply Project, which suggests a focus on water management and infrastructure. However, the tender does not explicitly mention any flood-related aspects, such as flood protection, prevention, or restoration. The description indicates a regular construction project for power infrastructure, rather than a specialized flood-related work. There are no keywords or context that clearly indicate this is a flood-related tender.",Non-Flood,success,
2023_BoTC_31845_1,DPRD/BTC/15FC/Baksa-19/2023/21,Improv of road with heavy EF and SG at Narayanpur village Aliguri Jakhaikhona Road including 2 nos Slab Culvert Approx 1 Km under 15th Finance Commission for the year 2022-23,DPRD/BTC/15FC/Baksa-19/2023/21,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,29-Jul-2023 10:30 AM,NA ,180.0,No ,No,Online,19-Aug-2023 03:00 PM,Bodoland Territorial Council||Panchayat and Rural Development-BTC,Baksa,781313.0,2.0,"24,28,513",KHANIN DAS,"2,428,513",Rejected-AOC,06-Oct-2023,Bodoland Territorial Council||Panchayat and Rural Development-BTC,"The tender details indicate that this project is related to flood-related infrastructure and development. The title mentions ""Improv of road with heavy EF and SG at Narayanpur village Aliguri Jakhaikhona Road including 2 nos Slab Culvert Approx 1 Km"", which suggests that the work involves road improvement and construction of slab culverts. These are primary indicators of flood-related infrastructure, as they are typically undertaken to improve drainage and mitigate the impact of floods in flood-prone areas. Additionally, the project is being carried out under the 15th Finance Commission, which is a government initiative to provide funds for infrastructure development, including flood-related projects. The department involved, Bodoland Territorial Council || Panchayat and Rural Development-BTC, is also responsible for rural development and infrastructure, which often includes flood management and mitigation measures.",Flood,success,
2023_BoTC_34718_1,DPRD/BTC/(SOPD)Udl-06/2023/08,Const of Road widening EF and SG from Barbari Pathar LP School to Adivasi village of Barmukuli with 2 slab culvert under SOPD Fund for the financial year 2022-23.,DPRD/BTC/(SOPD)Udl-06/2023/08,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,15-Dec-2023 10:45 AM,NA ,180.0,No ,No,Online,06-Jan-2024 02:30 PM,Bodoland Territorial Council||Panchayat and Rural Development-BTC,Udalguri,784509.0,2.0,"26,52,735",ALMA BASUMATARY,"2,652,695.67",Accepted-AOC,08-Feb-2024,Bodoland Territorial Council||Panchayat and Rural Development-BTC,"The tender is for the construction of road widening and the installation of two slab culverts under the SOPD (Special Ordinary Programme Development) Fund. While the tender does not explicitly mention flood-related works, the location of the project (from Barbari Pathar LP School to Adivasi village of Barmukuli) suggests that it may be in a flood-prone area. The inclusion of slab culverts, which are often used to facilitate drainage and water flow, could indicate a secondary flood mitigation purpose. However, the primary focus of the tender appears to be on general road infrastructure development rather than direct flood protection or prevention. There are no clear flood-related keywords or a specific mention of the project's purpose being flood-related.",Ambiguous,success,
2023_BoTC_34719_1,DPRD/BTC/(15th FC)UT(IV)/Udl-19/2023/09,Const of CC Block road at Swrang Hadwt village from the end of CC Block road to Ghagra-Santipur Pucca road under 15th FC Fund for the financial year 2023-24.,DPRD/BTC/(15th FC)UT(IV)/Udl-19/2023/09,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,15-Dec-2023 11:10 AM,NA ,180.0,No ,No,Online,06-Jan-2024 02:30 PM,Bodoland Territorial Council||Panchayat and Rural Development-BTC,Udalguri,784509.0,2.0,"57,43,137",ALMA BASUMATARY,"5,743,096.76",Accepted-AOC,08-Feb-2024,Bodoland Territorial Council||Panchayat and Rural Development-BTC,"The tender is for the construction of a CC (Cement Concrete) Block road in Swrang Hadwt village, which connects the end of the existing CC Block road to the Ghagra-Santipur Pucca road. While the tender does not explicitly mention flood-related works, the location and the department involved (Bodoland Territorial Council's Panchayat and Rural Development) suggest that this project may be related to improving connectivity and accessibility in a rural area, which could be important for flood preparedness and response. However, the tender does not provide any specific details about flood protection, prevention, or mitigation measures. Therefore, the classification is ambiguous, as the project could have some indirect flood-related benefits, but the primary purpose appears to be general infrastructure development rather than direct flood-related works.",Ambiguous,success,
2023_DU_31003_1,DU/NIT-2023/File-VII/185 dated 29.05.2023,"Supply, installation and commissioning of Storage Server and Networking at Dibrugarh University","Supply, installation and commissioning of Storage Server and Networking at Dibrugarh University",Goods,Open Tender,Item Rate,Electronics Equipment,No,No,NA ,30-May-2023 09:30 AM,NA ,180.0,No ,No,Online,20-Jun-2023 02:30 PM,Dibrugarh University,Dibrugarh University,786004.0,2.0,,BMG Informatics Pvt Ltd,"1,558,400",Rejected-AOC,08-Nov-2024,Dibrugarh University,"The tender is for the supply, installation, and commissioning of a storage server and networking at Dibrugarh University. It does not mention any flood-related works, infrastructure, or emergency response facilities. The tender description and department involved (Dibrugarh University) suggest this is a regular IT infrastructure project, not related to flood protection or mitigation. There are no flood-related keywords or temporal factors indicating this is a pre-monsoon or post-flood restoration work.",Non-Flood,success,
2023_ED_34374_1,DXL-3/2023,"GRANT OF IMFL OFF SHOP LICENCE AT KOIMARI, DIST. DHUBRI (FOR THE SHOP NO. DHU 2)","GRANT OF IMFL OFF SHOP LICENCE AT KOIMARI, DIST. DHUBRI (FOR THE SHOP NO. DHU 2)",Services,Open Tender,Item Wise,Miscellaneous Services,No,No,NA ,07-Dec-2023 09:30 AM,21-Dec-2023 02:00 PM ,180.0,No ,No,Online,10-Jan-2024 02:00 PM,Excise Department||Commissioner of Excise - ED||O/o SE-Dhubri - ED,"KOIMARI, DIST. DHUBRI",783335.0,2.0,,CHANDANA ROY,"1,001,999",Accepted-AOC,23-Oct-2024,Excise Department||Commissioner of Excise - ED||O/o SE-Dhubri - ED,"The tender is for the grant of an IMFL (Indian-Made Foreign Liquor) off-shop license at Koimari, Dist. Dhubri. This is a routine administrative process for the Excise Department and does not appear to be related to any flood-related infrastructure or development projects. There are no keywords or context indicating flood protection, prevention, or mitigation works. The tender is also not associated with any specific season or temporal factors related to floods. Based on the information provided, this tender is not related to flood management or disaster response.",Non-Flood,success,
2023_ED_34376_1,DXL-3/2023,"GRANT OF IMFL OFF SHOP LICENCE AT CHOTOGUMA, DIST. DHUBRI (FOR THE SHOP NO. DHU 3)","GRANT OF IMFL OFF SHOP LICENCE AT CHOTOGUMA, DIST. DHUBRI (FOR THE SHOP NO. DHU 3)",Services,Open Tender,Item Wise,Miscellaneous Services,No,No,NA ,07-Dec-2023 09:30 AM,21-Dec-2023 02:00 PM ,180.0,No ,No,Online,10-Jan-2024 02:00 PM,Excise Department||Commissioner of Excise - ED||O/o SE-Dhubri - ED,"CHOTOGUMA,DIST. DHUBRI",783335.0,2.0,,Niranjan Kumar Ray,"3,151,051",Rejected-Technical,22-Jul-2024,Excise Department||Commissioner of Excise - ED||O/o SE-Dhubri - ED,"The tender is for the grant of an IMFL (Indian-Made Foreign Liquor) off-shop license at Chotoguma, Dist. Dhubri. This is a routine administrative process for the Excise Department and does not appear to be related to flood management or prevention. There are no keywords or context indicating any flood-related aspects. The tender is also not associated with any specific season or emergency response. Based on the information provided, this tender is for a regular, non-flood-related infrastructure project.",Non-Flood,success,
